iso2c,country,year,FP.CPI.TOTL.ZG,FR.INR.RINR,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NY.GNS.ICTR.ZS,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SL.TLF.CACT.FE.ZS,SG.GEN.PARL.ZS,SP.ADO.TFRT,SH.DYN.MORT,SH.STA.MMRT,SI.POV.DDAY,SE.XPD.TOTL.GD.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,EG.FEC.RNEW.ZS,SP.POP.GROW,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS
BR,Brazil,2010,5.03872690108066,29.1158055222954,7.27400016784668,21.8013215924819,17.7112497686614,14301.1226835073,13850,73.619,52.9309997558594,8.57699805068226,66.8926,18.6,65,NA,5.64879989624023,98.5999984741211,2.03322568000604,2374.1166283676,46.81,0.937959306704135,15.665,84.335
BR,Brazil,2011,6.63644962213085,32.8334595068102,6.92000007629395,21.8262711244114,18.5055724255234,15040.0610864372,14640,73.921,51.5299987792969,8.57699805068226,65.4728,17.9,61,5.3,5.73741006851196,99.3286895751953,2.11786937529118,2430.80330981809,45.26,0.915965178459778,15.369,84.631
BR,Brazil,2012,5.40349914037009,26.5820905299539,7.19000005722046,21.4172253821104,17.5820508783995,15046.2901818178,14660,74.209,51.4379997253418,8.57699805068226,64.053,17.2,60,4.5,5.85510015487671,99.5194931030273,2.2792723330614,2501.47410302509,43.49,0.893525506727112,15.077,84.923
BR,Brazil,2013,6.204310666401,18.4988444176149,6.98000001907349,21.6937669581909,18.0253830474423,15588.7261289147,15350,74.483,51.2960014343262,8.57699805068226,63.0646,16.7,61,3.7,5.8388500213623,99.5751495361328,2.42165696102668,2568.82969521703,42.32,0.873605695817564,14.791,85.209
BR,Brazil,2014,6.32904015516142,22.4036724414727,6.65999984741211,20.5484107687266,15.9853880780719,15718.5649500141,15400,74.745,51.2519989013672,9.94152046783626,62.0762,16.3,62,3.3,5.94848012924194,99.6502456665039,2.52323213718715,2619.96049944708,41.71,0.855795964130977,14.508,85.492
BR,Brazil,2015,9.02990102416129,33.8323439650208,8.43000030517578,17.4116258675595,14.3061175980173,14744.1136344695,14430,74.994,51.7430000305176,9.94152046783626,61.0878,15.9,63,3.9,6.24105978012085,99.7108993530273,2.37362850846258,NA,43.62,0.838838953278811,14.23,85.77
BR,Brazil,2016,8.73914352329393,40.6983614511794,11.6000003814697,14.9695469663784,13.2298211839632,14256.163385421,13930,75.23,51.7130012512207,9.94152046783626,60.0994,16.7,62,4.7,6.314040184021,99.6999969482422,2.16857469639112,NA,45.46,0.823752152538353,13.958,86.042
BR,Brazil,2017,3.44637335032672,41.7138078718344,12.8199996948242,14.6255875996813,13.3552320334887,14524.6135408174,14220,75.456,52.6240005493164,10.7212475633528,59.111,15.4,60,5.3,6.32047986984253,99.8000030517578,2.19641817319378,NA,45.33,0.807145245445964,13.691,86.309
BR,Brazil,2018,3.66485028376724,33.1023342476972,12.3299999237061,15.0950416280749,12.4194019244415,15018.6824011943,14560,75.672,52.757999420166,15.009746588694,57.8858,15.2,NA,5.3,6.08851003646851,99.6999969482422,2.07185467654344,NA,46.95,0.783844259734468,13.431,86.569
BR,Brazil,2019,3.73297621216894,31.9030727496914,11.9300003051758,15.5167908262957,11.8783062134955,15358.0894882281,14890,75.881,53.4360008239746,15.009746588694,56.6606,14.9,NA,5.4,NA,99.8000030517578,2.05781083913756,NA,47.57,0.751550842096973,13.176,86.824
BR,Brazil,2020,3.21176803803379,22.73292154492,13.6899995803833,15.9306220546893,14.1506086552271,14834.1937022808,14440,76.084,47.7099990844727,14.6198830409357,55.4354,14.7,NA,1.9,NA,100,NA,NA,NA,0.712872791114979,12.927,87.073
CN,China,2000,0.347811226864599,3.71066408172257,3.25999999046326,33.5730284937681,35.739546986303,2917.24252974442,2880,71.397,70.5220031738281,21.7828418230563,9.911,36.7,59,NA,NA,97.0217971801758,2.65041242787957,992.943384720171,29.63,0.787956592953992,64.123,35.877
CN,China,2001,0.719125609120107,3.72666388975553,3.79999995231628,35.5415967198136,37.2692998228601,3208.22995656918,3160,71.732,69.8679962158203,21.7828418230563,9.33,34.1,55,NA,NA,97.2727890014648,2.77476117466682,1076.54912135865,28.36,0.726380637838525,62.907,37.093
CN,China,2002,-0.731970902350276,4.67972434486251,4.23999977111816,36.1534434433744,38.8832254801888,3532.08165145822,3500,72.061,69.2060012817383,21.7828418230563,8.749,31.5,51,36.5,NA,97.5162048339844,2.97567952092608,1194.85629490784,27,0.669999567758626,61.575,38.425
CN,China,2003,1.12760348729636,2.63814663563092,4.57999992370605,39.6201305878555,42.4134996454231,3938.73027446337,3910,72.381,68.536003112793,20.2345058626466,8.4572,28.8,48,NA,NA,97.7543792724609,3.4274372526001202,1379.48463210183,23.86,0.622860936133583,60.224,39.776
CN,China,2004,3.82463743108159,-1.28281170464587,4.48999977111816,41.8471972608319,45.6723671935878,4427.13100315158,4420,72.689,67.8570022583008,20.2345058626466,8.1654,26.3,46,NA,NA,97.9896697998047,3.9541074584563,1585.83878247787,20.17,0.593932815112141,58.856,41.144
CN,China,2005,1.77641407667574,1.61327750270832,4.51999998092651,40.3461495465791,45.9547821461238,5056.40472408493,5020,72.985,67.1699981689453,20.2684563758389,7.8736,24,44,22.1,2.39000010490417,98.2244262695313,4.46770002977058,1782.31215291627,17.44,0.588124989556992,57.478,42.522
CN,China,2006,1.64943099455862,2.11057772637347,4.42999982833862,39.9103386970019,48.2605005639481,5842.77863595453,5830,73.271,66.4759979248047,20.2684563758389,7.5818,21.9,42,NA,2.44000005722046,98.461051940918,4.91027613220527,2039.0146603408,16.39,0.558374367373002,56.132,43.868
CN,China,2007,4.81676767378831,-0.259570586468016,4.34999990463257,40.4821901688549,50.2752218196423,6818.923409237,6830,73.553,65.7740020751953,20.620992237597,7.29,20.1,40,NA,2.70000004768372,98.7022018432617,5.30636601507814,2325.92676902765,14.88,0.522271866392275,54.801,45.199
